# Mean	Std	Min	Max
0.256189	0.233374	0.016736	0.955114
0.240428	0.280141	0.011696	1.071385
0.255468	0.300872	0.021983	1.245383
0.252985	0.281820	0.022121	0.923851
0.224706	0.217485	0.033904	0.894579
0.258641	0.252793	0.033176	0.842029
0.245692	0.240272	0.013092	0.927719
0.245809	0.261323	0.035316	0.970889
0.240599	0.254346	0.013421	0.878147
0.250503	0.278725	0.019670	1.075997
0.246036	0.259485	0.024243	0.960956
0.251988	0.257004	0.019440	0.932566
0.236663	0.226225	0.027560	0.855319
0.252266	0.271241	0.024155	1.053326
0.238424	0.244578	0.046498	0.999622
0.220652	0.220233	0.034506	0.812982
0.244643	0.252474	0.011670	0.943618
0.222892	0.227430	0.034165	0.932372
0.235789	0.220145	0.017349	0.829302
0.272122	0.264943	0.023300	0.876463
0.263013	0.265606	0.016816	1.042813
0.237734	0.252325	0.013332	1.012394
0.252129	0.273618	0.025577	1.139844
0.254339	0.255372	0.029177	1.039921
0.263605	0.298624	0.019583	0.971616
0.249122	0.268430	0.016277	1.021604
0.259736	0.253154	0.040669	0.877560
0.257483	0.261465	0.021923	0.949601
0.251624	0.257276	0.012430	0.962807
0.248914	0.234172	0.018811	0.901609
0.251770	0.244478	0.022564	0.914657
0.226184	0.259449	0.015255	0.951513
0.260365	0.282253	0.015491	0.944594
0.274335	0.251578	0.026673	0.884836
0.217951	0.249867	0.007042	0.833412
0.237763	0.242106	0.025752	1.033788
0.256132	0.238888	0.018586	0.955259
0.258385	0.277218	0.016253	0.885767
0.248700	0.234375	0.027349	0.777689
0.226435	0.233097	0.018952	0.865131
0.244294	0.219202	0.019025	0.792560
0.239876	0.237088	0.018469	0.837346
0.242210	0.250990	0.017292	0.978036
0.256831	0.229669	0.047695	0.758722
0.255710	0.258439	0.048446	1.026294
0.250514	0.250166	0.011805	0.831284
0.256024	0.265634	0.024182	1.131658
0.241698	0.274999	0.015062	1.079925
0.248397	0.261384	0.021755	0.788403
0.219733	0.237578	0.016375	0.857067
0.222306	0.224763	0.024750	0.834919
0.258978	0.247947	0.017005	0.938809
0.242440	0.233446	0.029474	0.874065
0.248829	0.257426	0.024926	0.966295
0.258056	0.252231	0.030860	0.905570
0.261542	0.265337	0.032998	1.056723
